충전소명,주소,Latitude,Longitude,ID,충전기 형태,충전기 용량,x,y
이곡1동행정복지센터,대구광역시 달서구 달구벌대로 1309이곡1동행정복지센터(672-2 이곡1동행정복지센터),35.8516032,128.5106482,1,DC차데모+AC3상+DC콤보,100kW,,
이천동 행정복지센터,대구광역시 남구 이천로28길 18이천동행정복지센터(이천동 주민센터),35.8536602,128.5993898,1,AC완속,7kW,,
중동 행정복지센터,대구광역시 수성구 수성로50길 38중동행정복지센터(중동 행정복지센터),35.8473556,128.6150551,1,AC완속,7kW,,
지산1동 행정복지센터,대구광역시 수성구 지범로21길 16지산1동행정복지센터(지산1동 행정복지센터),35.8261461,128.6334927,1,AC완속,7kW,,
지산근린공원 주차장,대구광역시 수성구 용학로 267지산근린공원 주차장(지산동 1274),35.8211647,128.6377482,1,DC차데모+AC3상+DC콤보,50kW,,
진천동 행정복지센터,대구광역시 달서구 진천로9길 33진천동행정복지센터(진천동 626-39),35.8121712,128.5228247,1,DC차데모+AC3상+DC콤보,50kW,,
차량등록사업소 서부분소,대구광역시 달서구 성서로 400차량등록사업소 서부분소(이곡동 1252-3),35.8523614,128.5083998,1,DC차데모+AC3상+DC콤보,50kW,,
차량등록사업소(시그넷),대구광역시 수성구 동원로 84차량등록사업소(1429-9 대구차량등록사업소),35.866715,128.639774,1,DC차데모+AC3상+DC콤보,50kW,,
첨단의료산업진흥재단,대구광역시 동구 첨복로 80첨단의료산업진흥재단(동내동 1115-1),35.8811367,128.7371389,1,DC차데모+AC3상+DC콤보,50kW,,
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),35.8839918,128.5318192,1,DC차데모+AC3상+DC콤보,50kW,,
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),35.8839918,128.5318192,2,AC완속,7kW,,
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),35.8839918,128.5318192,3,AC완속,7kW,,
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),35.8839918,128.5318192,4,AC완속,7kW,,
충혼탑 주차장,대구광역시 남구 앞산순환로 540충혼탑 주차장(대명동 산186),35.832502,128.5837289,1,DC차데모+AC3상+DC콤보,50kW,,
충혼탑 주차장,대구광역시 남구 앞산순환로 540충혼탑 주차장(대명동 산186),35.832502,128.5837289,2,AC완속,7kW,,
파계사 공영주차장,대구광역시 동구 파계로 686파계사 공영주차장(중대동 844-16),35.9904869,128.6365491,1,DC차데모+AC3상+DC콤보,50kW,,
