충전소명,주소,ID,충전기 형태,충전기 용량
올브랜 주차장,대구광역시 북구 유통단지로14길 22올브랜 주차장(산격동 1668),03,AC완속,7kW
외환들공영주차장,대구광역시 수성구 미술관로 40-1외환들공영주차장(삼덕동 360-4),01,AC완속,7kW
외환들공영주차장,대구광역시 수성구 미술관로 40-1외환들공영주차장(삼덕동 360-4),02,AC완속,7kW
외환들공영주차장,대구광역시 수성구 미술관로 40-1외환들공영주차장(삼덕동 360-4),03,AC완속,7kW
용산1동 행정복지센터,대구광역시 달서구 용산로 212-7용산1동행정복지센터(934-6 용산1동행정복지센터),01,AC완속,7kW
용산2동 행정복지센터,대구광역시 달서구 선원로 278용산2동 행정복지센터(용산동 499-7 용산2동행정복지센터),01,DC차데모+AC3상+DC콤보,50kW
월광수변공원주차장,대구광역시 달서구 월곡로 6월광수변공원주차장(도원동 932-5),01,DC차데모+AC3상+DC콤보,50kW
월성1동 행정복지센터,대구광역시 달서구 조암남로 97월성1동행정복지센터(1396-3 월성1동행정복지센터),01,AC완속,7kW
월성2동 행정복지센터,대구광역시 달서구 월성로 65월성2동행정복지센터(86-3 월성2동행정복지센터),01,AC완속,7kW
유니버시아드 레포츠센터,대구광역시 북구 호국로57길 6유니버시아드 레포츠센터(서변동 1724-1),01,DC차데모+AC3상+DC콤보,50kW
율하체육공원3주차장,대구광역시 동구 금호강변로 278율하체육공원3주차장(율하동 1626),01,DC차데모+AC3상+DC콤보,50kW
이곡1동행정복지센터,대구광역시 달서구 달구벌대로 1309이곡1동행정복지센터(672-2 이곡1동행정복지센터),01,DC차데모+AC3상+DC콤보,100kW
이천동 행정복지센터,대구광역시 남구 이천로28길 18이천동행정복지센터(이천동 주민센터),01,AC완속,7kW
중동 행정복지센터,대구광역시 수성구 수성로50길 38중동행정복지센터(중동 행정복지센터),01,AC완속,7kW
지산1동 행정복지센터,대구광역시 수성구 지범로21길 16지산1동행정복지센터(지산1동 행정복지센터),01,AC완속,7kW
지산근린공원 주차장,대구광역시 수성구 용학로 267지산근린공원 주차장(지산동 1274),01,DC차데모+AC3상+DC콤보,50kW
진천동 행정복지센터,대구광역시 달서구 진천로9길 33진천동행정복지센터(진천동 626-39),01,DC차데모+AC3상+DC콤보,50kW
차량등록사업소 서부분소,대구광역시 달서구 성서로 400차량등록사업소 서부분소(이곡동 1252-3),01,DC차데모+AC3상+DC콤보,50kW
차량등록사업소(시그넷),대구광역시 수성구 동원로 84차량등록사업소(1429-9 대구차량등록사업소),01,DC차데모+AC3상+DC콤보,50kW
첨단의료산업진흥재단,대구광역시 동구 첨복로 80첨단의료산업진흥재단(동내동 1115-1),01,DC차데모+AC3상+DC콤보,50kW
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),01,DC차데모+AC3상+DC콤보,50kW
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),02,AC완속,7kW
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),03,AC완속,7kW
충전인프라 관제센터,대구광역시 서구 가르뱅이로10길 31대구 충전인프라 관제센터(상리동 2-1),04,AC완속,7kW
충혼탑 주차장,대구광역시 남구 앞산순환로 540충혼탑 주차장(대명동 산186),01,DC차데모+AC3상+DC콤보,50kW
충혼탑 주차장,대구광역시 남구 앞산순환로 540충혼탑 주차장(대명동 산186),02,AC완속,7kW
파계사 공영주차장,대구광역시 동구 파계로 686파계사 공영주차장(중대동 844-16),01,DC차데모+AC3상+DC콤보,50kW
파계사 공영주차장,대구광역시 동구 파계로 686파계사 공영주차장(중대동 844-16),02,AC완속,7kW
파동교네거리주차장,대구광역시 수성구 파동로 59파동교네거리주차장(파동 495),01,DC차데모+AC3상+DC콤보,50kW
패션센터 주차장,대구광역시 북구 유통단지로14길 17패션센터 주차장(산격동 1670),01,DC차데모+AC3상+DC콤보,50kW
평리1동 행정복지센터,대구광역시 서구 문화로 280평리1동행정복지센터(평리1동 주민센터),01,AC완속,7kW
평리3동 행정복지센터,대구광역시 서구 문화로 261평리3동행정복지센터(평리3동 주민센터),01,AC완속,7kW
한국도로공사 칠곡영업소,대구광역시 북구 관음로 41한국도로공사 칠곡영업소(관음동 901-2),01,DC차데모+AC3상+DC콤보,50kW
한국산업단지 달성출장소,대구광역시 달성군 구지면 달성2차동1로 109한국산업단지 달성출장소(내리 840-3),01,DC차데모+AC3상+DC콤보,50kW
해안동 행정복지센터,대구광역시 동구 방촌로29길 46해안동행정복지센터(방촌동 822-5),01,DC차데모+AC3상+DC콤보,50kW
현풍읍 행정복지센터,대구광역시 달성군 현풍읍 비슬로134길 157현풍읍행정복지센터(352-2 현풍읍사무소),01,AC완속,7kW
환경공단안심하수처리장,대구광역시 동구 금호강변로 91대구환경공단 안심하수처리장(용계동 828-2),01,DC차데모+AC3상+DC콤보,50kW
환경공단안심하수처리장,대구광역시 동구 금호강변로 91대구환경공단 안심하수처리장(용계동 828-2),02,AC완속,7kW
환경공단안심하수처리장,대구광역시 동구 금호강변로 91대구환경공단 안심하수처리장(용계동 828-2),03,AC완속,7kW
대구시_KS택시주식회사,대구광역시 수성구 희망로 226KS택시주식회사,01,DC차데모+AC3상+DC콤보,50kW
대구시_고산2동 행정복지센터,대구광역시 수성구 달구벌대로 3091고산2동 행정복지센터(고산2동 행정복지센터 고산2동 행정복지센터),01,DC차데모+AC3상+DC콤보,50kW
대구시_고성동 행정복지센터,대구광역시 북구 고성로31길 21,01,DC차데모+AC3상+DC콤보,50kW
대구시_공산동 행정복지센터,대구광역시 동구 팔공로91길 9대구시_공산동 행정복지센터(269-1 공산동주민센터),01,DC차데모+AC3상+DC콤보,100kW
대구시_남구청,대구광역시 남구 이천로 51,01,DC차데모+AC3상+DC콤보,50kW
대구시_남구청,대구광역시 남구 이천로 51,02,AC완속,7kW
대구시_남산2동 행정복지센터,대구광역시 중구 명륜로 27-1남산2동 행정복지센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_남산3동 행정복지센터,대구광역시 중구 남산로4길 70,01,DC차데모+AC3상+DC콤보,50kW
대구시_내당4동,대구광역시 서구 서대구로3길 46대구시_내당4동,01,DC차데모+AC3상+DC콤보,100kW
대구시_대구 지식산업센터,대구광역시 북구 오봉로 164대구 지식산업센터,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구도시철도공사,대구광역시 달서구 월배로 250대구도시철도공사,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구시청,대구광역시 중구 공평로 88대구시청 지하주차장 내,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,02,AC완속,7kW
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,03,AC완속,7kW
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,04,AC완속,7kW
대구시_대구유통단지 전자관,대구광역시 북구 유통단지로 45대구유통단지 전자관,05,AC완속,7kW
대구시_대구은행 3공단영업부지점,대구광역시 북구 노원동로 2,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구은행 본점,대구광역시 수성구 달구벌대로 2310대구은행 본점 지상주차장,01,DC차데모+AC3상+DC콤보,50kW
대구시_대구은행 신암동지점,대구광역시 동구 아양로 2,01,DC차데모+AC3상+DC콤보,50kW
