충전소명,주소,ID,충전기 형태,충전기 용량
달성문화센터,대구광역시 달성군 다사읍 대실역북로2길 188달성문화센터(매곡리 1515-3),01,DC차데모+AC3상+DC콤보,50kW
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),01,DC차데모+AC3상+DC콤보,50kW
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),02,AC완속,7kW
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),03,AC완속,7kW
대구과학관,대구광역시 달성군 유가읍 테크노대로6길 20대구과학관 주차장(상리 917),04,AC완속,7kW
대구도시철도공사,대구광역시 달서구 월배로 250대구도시철도공사(상인동 1500),01,DC차데모+AC3상+DC콤보,50kW
대구부광교회,대구광역시 북구 칠곡중앙대로52길 38대구부광교회(태전동 608-12),01,DC차데모+AC3상+DC콤보,50kW
대구사격장,대구광역시 북구 문주길 170대구사격장(40 대구사격장),01,DC차데모+AC3상+DC콤보,50kW
대구시청,대구광역시 중구 공평로 88대구시청 주차장(동인동1가 2-1),01,DC차데모+AC3상+DC콤보,50kW
대구시청,대구광역시 중구 공평로 88대구시청 주차장(동인동1가 2-1),02,AC완속,7kW
대구은행 본리동지점,대구광역시 달서구 구마로 180대구은행 본리동지점(본동 225-3),01,DC차데모+AC3상+DC콤보,50kW
대구은행 시지지점,대구광역시 수성구 달구벌대로 3196대구은행 시지지점(신매동 567-10),01,DC차데모+AC3상+DC콤보,50kW
대구은행 제2본점,대구광역시 북구 옥산로 111대구은행 제2본점(칠성동2가 2-4 대구은행 제2본점),01,DC차데모+AC3상+DC콤보,50kW
대구은행 파동지점,대구광역시 수성구 수성로5 (입구 좌측),01,DC차데모+AC3상+DC콤보,50kW
대구의료원,대구광역시 서구 평리로 157대구의료원(1162 대구의료원),01,DC차데모+AC3상+DC콤보,50kW
대구지식서비스센터,대구광역시 동구 동대구로 481대구지식서비스센터(신천동 92),01,AC완속,7kW
대구지식서비스센터,대구광역시 동구 동대구로 481대구지식서비스센터(신천동 92),02,AC완속,7kW
대구체육관 주차장,대구광역시 북구 대구체육관로 39대구체육관 주차장(산격동 1427-1),01,DC차데모+AC3상+DC콤보,50kW
